Time resolution is 1 ps
                   1 ns Inputs a=0000000001011000(88) , b=0000000000101100(44)-- Opcode f=0000(0)-- Output q=xxxxxxxxxxxxxxxx(x)-- Flag-bits: Overflow o=x, Zero z=x, Negative n=x
                   7 ns Inputs a=0000000001011000(88) , b=0000000000101100(44)-- Opcode f=0001(1)-- Output q=0000000000000000(0)-- Flag-bits: Overflow o=0, Zero z=1, Negative n=0
                  13 ns Inputs a=0000000001011000(88) , b=0000000000101100(44)-- Opcode f=0010(2)-- Output q=1111111111111111(65535)-- Flag-bits: Overflow o=0, Zero z=0, Negative n=0
                  19 ns Inputs a=0000000001011000(88) , b=0000000000101100(44)-- Opcode f=0011(3)-- Output q=0000000001011000(88)-- Flag-bits: Overflow o=0, Zero z=0, Negative n=0
                  25 ns Inputs a=0000000001011000(88) , b=0000000000101100(44)-- Opcode f=0100(4)-- Output q=1111111110101000(65448)-- Flag-bits: Overflow o=0, Zero z=0, Negative n=0
                  31 ns Inputs a=0000000001011000(88) , b=0000000000101100(44)-- Opcode f=0101(5)-- Output q=0000000001011001(89)-- Flag-bits: Overflow o=0, Zero z=0, Negative n=0
                  37 ns Inputs a=0000000001011000(88) , b=0000000000101100(44)-- Opcode f=0110(6)-- Output q=0000000000101100(44)-- Flag-bits: Overflow o=0, Zero z=0, Negative n=0
                  43 ns Inputs a=0000000001011000(88) , b=0000000000101100(44)-- Opcode f=0111(7)-- Output q=1111111111010100(65492)-- Flag-bits: Overflow o=0, Zero z=0, Negative n=0
                  49 ns Inputs a=0000000001011000(88) , b=0000000000101100(44)-- Opcode f=1000(8)-- Output q=0000000000101101(45)-- Flag-bits: Overflow o=0, Zero z=0, Negative n=0
                  55 ns Inputs a=0000000001011000(88) , b=0000000000101100(44)-- Opcode f=1001(9)-- Output q=0000000010000100(132)-- Flag-bits: Overflow o=0, Zero z=0, Negative n=0
                  61 ns Inputs a=0000000001011000(88) , b=0000000000101100(44)-- Opcode f=1010(10)-- Output q=1111111110100111(65447)-- Flag-bits: Overflow o=0, Zero z=0, Negative n=0
                  67 ns Inputs a=0000000001011000(88) , b=0000000000101100(44)-- Opcode f=1011(11)-- Output q=1111111111010011(65491)-- Flag-bits: Overflow o=0, Zero z=0, Negative n=0
                  73 ns Inputs a=0000000001011000(88) , b=0000000000101100(44)-- Opcode f=1100(12)-- Output q=0000000000001000(8)-- Flag-bits: Overflow o=0, Zero z=0, Negative n=0
                  79 ns Inputs a=0000000001011000(88) , b=0000000000101100(44)-- Opcode f=1101(13)-- Output q=0000000001111100(124)-- Flag-bits: Overflow o=0, Zero z=0, Negative n=0
                  85 ns Inputs a=0000000001011000(88) , b=0000000000101100(44)-- Opcode f=1110(14)-- Output q=0000000001110100(116)-- Flag-bits: Overflow o=0, Zero z=0, Negative n=0
                  91 ns Inputs a=0000000001011000(88) , b=0000000000101100(44)-- Opcode f=1111(15)-- Output q=0000000000000000(0)-- Flag-bits: Overflow o=0, Zero z=1, Negative n=0
